user_id,username,first_name,last_name,email,password,contact,registration_date,city_id,user_status
1,shakila57,Zamira,Lailasari,zamiralailasari@gmail.com,(AVITyd&Zg4fl9z,+62-94-854-4126,2022-05-08,4,Active
2,wsalahudin,Zalindra,Siregar,zalindrasiregar@hotmail.com,#GRlCD__A50Vyn+,+62 (25) 886 2902,2024-12-07,9,Active
3,dsuryatmi,Cahyanto,Hartati,cahyantohartati@hotmail.com,hKP1Az3cMk5d7(5,(007) 991-2628,2023-04-07,3,Active
4,elvinamayasari,Kajen,Lailasari,kajenlailasari@gmail.com,R&F27KdS!li5cUH,+62 (0323) 220 9785,2022-10-23,6,Inactive
5,imampratiwi,Martani,Najmudin,martaninajmudin@yahoo.com,d^8*J#7PxMjo5fy,+62 (747) 157 2555,2020-03-12,6,Active
6,usman31,Titin,Hutapea,titinhutapea@yahoo.com,*b8rSkw_knzcS6V,(072) 770 9642,2023-03-13,9,Active
7,jasminastuti,Dimas,Prakasa,dimasprakasa@hotmail.com,)0TiSOR2c8(irE+,+62 (67) 839 7100,2023-06-14,3,Inactive
8,himawanhabibi,Yessi,Widodo,yessiwidodo@yahoo.com,^Gh1YhHX)20PLid,+62 (077) 502-2266,2023-02-25,4,Active
9,faizah17,Diah,Sitorus,diahsitorus@yahoo.com,sv2YK)5IR^$JpRc,+62-089-933-6958,2020-06-27,8,Active
10,asmadinasyidah,Artanto,Manullang,artantomanullang@hotmail.com,%*WsorLB92T2#1E,+62 (391) 137 2932,2022-10-04,1,Active
11,hasanprasetya,Pandu,Sudiati,pandusudiati@hotmail.com,3d4l!VhVh$*xUQN,+62 (30) 814 7008,2020-02-13,5,Active
12,agneswahyuni,Ade,Mayasari,ademayasari@yahoo.com,vcWQuv7eT%$4%Cs,+62 (902) 125-0423,2021-01-22,1,Active
13,jindra38,Shakila,Hakim,shakilahakim@gmail.com,Px$G37HsF(uTQ6B,+62 (727) 493 1068,2023-11-24,2,Inactive
14,situmorangreza,Gina,Nasyiah,ginanasyiah@gmail.com,wnqMzmEo@9QTrzy,(079) 767 7672,2020-03-15,1,Inactive
15,thamrinlanjar,Dacin,Oktaviani,dacinoktaviani@yahoo.com,OLyysXJkh$&2DYx,(075) 205-5925,2022-08-06,9,Active
16,yuliartimargana,Citra,Pradipta,citrapradipta@gmail.com,OY3a!Iy^@5nW0ZC,(0667) 442-6685,2021-08-13,6,Inactive
17,salahudintantri,Mursinin,Putra,mursininputra@gmail.com,n#9SxSEh&#8Wi1x,+62-73-589-1415,2024-08-20,2,Inactive
18,tbudiman,Tirtayasa,Hakim,tirtayasahakim@yahoo.com,u*6VxVfLZD5LYtH,(040) 475-2796,2024-10-05,5,Inactive
19,anggrainiemong,Ina,Napitupulu,inanapitupulu@yahoo.com,^MY7SZ1PYhI17Ef,+62 (0009) 748-7254,2022-03-24,6,Inactive
20,ymayasari,Cecep,Saragih,cecepsaragih@yahoo.com,Fo_4Rn(yPx2CCZ%,+62 (054) 950 7713,2022-09-26,7,Active
21,uharyanto,Vanesa,Handayani,vanesahandayani@gmail.com,u0!PB*Fn7OFOY3q,+62 (84) 806-9643,2024-09-17,8,Inactive
22,knasyidah,Lurhur,Wijayanti,lurhurwijayanti@gmail.com,@yqK0$%k(6vEETl,+62-823-873-8923,2022-09-05,4,Inactive
23,hartatijanet,Prasetya,Uwais,prasetyauwais@yahoo.com,#dV6bzkjEz4T(GK,+62 (0691) 439 3878,2021-12-30,9,Inactive
24,yunitariyanti,Bagya,Fujiati,bagyafujiati@gmail.com,%^w$3ZgX1LY*ls5,+62 (48) 435 5915,2020-09-14,9,Inactive
25,ridwan69,Ina,Halim,inahalim@hotmail.com,W46BHMG)&Eajh1v,(0093) 454 5275,2021-05-14,7,Active
26,parmanutami,Hadi,Sinaga,hadisinaga@gmail.com,FnO)^cUp0$K6vmK,(0922) 760 3882,2021-05-20,4,Active
27,halimdamu,Rendy,Rajata,rendyrajata@hotmail.com,@0OkGt*GUqlP73!,+62 (073) 012-1588,2023-10-14,3,Active
28,kmaheswara,Karsa,Usamah,karsausamah@yahoo.com,&5F0Iv+%+Vk_Egy,(000) 172-5022,2022-04-07,4,Inactive
29,latuponoyuni,Cinthia,Habibi,cinthiahabibi@yahoo.com,oRxK5AKb%6A1x(V,+62 (068) 204-8453,2022-09-18,8,Inactive
30,ismailnugroho,Balijan,Kuswoyo,balijankuswoyo@gmail.com,q1q1Fp3@_1BQsoA,(0296) 322-9469,2021-01-03,9,Active
31,pranata90,Caraka,Damanik,carakadamanik@yahoo.com,$rQDOi9U0ZBM0lI,+62-43-778-7163,2023-03-08,7,Active
